location,continent,date,iso_code,tests_units_status,cardiovasc_death_rate,Deathp100K,diabetes_prevalence,extreme_poverty,female_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,male_smokers,Age,Mortality Rate,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,Number of Records,population,population_density,positive_rate,stringency_index,tests_per_case,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,Waterfall
South Africa,Africa,13-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,24,0,4,0.067,0,0,76,0.001,103,0.002,1,59308690,46.754,0.022,13.89,45.062,17,0.287,0,0,924,0.02,0
South Africa,Africa,14-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,23,0,7,0.118,0,0,93,0.002,111,0.002,1,59308690,46.754,0.03,13.89,33.783,24,0.405,0,0,1017,0.02,0
South Africa,Africa,15-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,24,0,0,0,0,0,459,0.008,162,0.003,1,59308690,46.754,0.019,19.44,51.545,24,0.405,0,0,1476,0.03,0
South Africa,Africa,16-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,34,0,27,0.455,0,0,929,0.016,280,0.005,1,59308690,46.754,0.024,38.89,40.833,51,0.86,0,0,2405,0.04,0
South Africa,Africa,17-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,21,0,11,0.185,0,0,506,0.009,338,0.006,1,59308690,46.754,0.023,38.89,43.018,62,1.045,0,0,2911,0.05,0
South Africa,Africa,18-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,21,0,23,0.388,0,0,159,0.003,346,0.006,1,59308690,46.754,0.032,55.56,31.051,85,1.433,0,0,3070,0.05,0
South Africa,Africa,19-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,25,0,31,0.523,0,0,1762,0.03,569,0.01,1,59308690,46.754,0.026,55.56,38.67,116,1.956,0,0,4832,0.08,0
South Africa,Africa,20-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,25,0,34,0.573,0,0,1606,0.027,788,0.013,1,59308690,46.754,0.024,55.56,41.474,150,2.529,0,0,6438,0.11,0
South Africa,Africa,21-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,27,0,55,0.927,0,0,987,0.017,915,0.015,1,59308690,46.754,0.028,55.56,35.387,205,3.456,0,0,7425,0.13,0
South Africa,Africa,22-03-2020,ZAF,people tested,200.38,0,5.52,18.9,8.1,12294.876,43.993,2.32,64.13,33.2,27,0,35,0.59,0,0,1890,0.032,1120,0.019,1,59308690,46.754,0.028,55.56,36.296,240,4.047,0,0,9315,0.16,0
